,VHT,VMT,Avg. Delay,Incoming Veh. Flux,Outgoing Veh. Flux,Avg. Queue Length,Total Queue Length,X(t),timestep
0,10.0,8.977,-13.333333333333336,0.1,0.1,0.0,0,2,0
1,20.0,17.954,-3.333333333333335,0.1,0.0,0.0,0,2,1
2,20.0,17.954,-3.333333333333335,0.1,0.1,0.5,1,3,2
3,16.666666666666668,14.961666666666668,-6.666666666666668,0.1,0.2,0.0,0,2,3
4,18.0,16.1586,-5.333333333333334,0.1,0.0,0.0,0,1,4
5,18.0,16.1586,-5.333333333333334,0.1,0.0,0.0,0,2,5
6,18.0,16.1586,-5.333333333333334,0.1,0.1,1.0,1,2,6
7,16.666666666666668,14.961666666666668,-6.666666666666668,0.0,0.1,0.0,0,2,7
8,18.571428571428573,16.67157142857143,-4.761904761904763,0.0,0.0,0.0,0,2,8
9,18.571428571428573,16.67157142857143,-4.761904761904763,0.0,0.0,0.0,0,3,9
10,18.571428571428573,16.67157142857143,-4.761904761904763,0.0,0.0,0.0,0,3,10
11,18.571428571428573,16.67157142857143,-4.761904761904763,0.0,0.0,0.0,0,4,11
12,18.571428571428573,16.67157142857143,-4.761904761904763,0.0,0.2,0.25,1,5,12
13,18.88888888888889,16.956555555555557,-4.444444444444446,0.1,0.1,0.3333333333333333,1,4,13
14,23.0,20.647100000000002,-0.3333333333333366,0.0,0.1,0.5,1,3,14
15,26.363636363636363,23.666636363636368,3.0303030303030276,0.1,0.1,0.0,0,3,15
16,26.666666666666664,23.938666666666666,3.3333333333333304,0.1,0.0,0.0,0,3,16
17,26.666666666666664,23.938666666666666,3.3333333333333304,0.1,0.1,0.5,1,3,17
18,25.384615384615383,22.78776923076923,2.0512820512820484,0.1,0.1,0.0,0,3,18
19,25.714285714285715,23.083714285714283,2.3809523809523814,0.1,0.1,0.0,0,3,19
20,28.0,25.1356,4.666666666666663,0.0,0.0,0.0,0,3,20
21,28.0,25.1356,4.666666666666663,0.0,0.1,0.5,1,3,21
22,28.125,25.247812500000002,4.791666666666665,0.1,0.1,0.0,0,3,22
23,28.23529411764706,25.346823529411765,4.901960784313726,0.1,0.1,0.5,1,3,23
24,28.333333333333336,25.434833333333334,5.0,0.1,0.1,0.0,0,2,24
25,27.36842105263158,24.568631578947368,4.035087719298245,0.1,0.1,0.0,0,2,25
26,27.5,24.686749999999996,4.166666666666665,0.1,0.0,0.0,0,2,26
27,27.5,24.686749999999996,4.166666666666665,0.1,0.0,0.0,0,3,27
28,27.5,24.686749999999996,4.166666666666665,0.1,0.1,0.0,0,3,28
29,26.666666666666664,23.938666666666663,3.3333333333333304,0.0,0.0,0.0,0,3,29
30,26.666666666666664,23.938666666666663,3.3333333333333304,0.0,0.0,0.0,0,4,30
31,26.666666666666664,23.938666666666663,3.3333333333333304,0.0,0.1,0.25,1,5,31
32,28.181818181818183,25.29881818181818,4.848484848484849,0.1,0.2,1.0,2,4,32
33,27.5,24.68675,4.166666666666665,0.1,0.2,0.0,0,3,33
34,29.23076923076923,26.24046153846154,5.897435897435894,0.1,0.0,0.0,0,2,34
35,29.23076923076923,26.24046153846154,5.897435897435894,0.1,0.1,0.0,0,2,35
36,28.518518518518515,25.60107407407407,5.185185185185182,0.1,0.1,1.0,1,2,36
37,28.571428571428573,25.648571428571426,5.238095238095237,0.1,0.1,0.0,0,2,37
38,27.93103448275862,25.073689655172412,4.597701149425286,0.1,0.1,0.0,0,2,38
39,27.333333333333336,24.53713333333333,3.999999999999999,0.1,0.1,0.0,0,1,39
40,26.774193548387096,24.03519354838709,3.4408602150537604,0.0,0.0,0.0,0,1,40
41,26.774193548387096,24.03519354838709,3.4408602150537604,0.0,0.0,0.0,0,2,41
42,26.774193548387096,24.03519354838709,3.4408602150537604,0.0,0.1,0.0,0,2,42
43,26.25,23.564625,2.916666666666665,0.0,0.0,0.0,0,2,43
44,26.25,23.564625,2.916666666666665,0.0,0.1,0.5,1,3,44
45,25.757575757575758,23.122575757575756,2.424242424242422,0.1,0.2,0.0,0,3,45
46,26.0,23.3402,2.666666666666666,0.0,0.1,0.0,0,1,46
47,25.555555555555554,22.94122222222222,2.2222222222222188,0.0,0.0,0.0,0,1,47
48,25.555555555555554,22.94122222222222,2.2222222222222188,0.0,0.0,0.0,0,2,48
49,25.555555555555554,22.94122222222222,2.2222222222222188,0.0,0.0,0.0,0,3,49
50,25.555555555555554,22.94122222222222,2.2222222222222188,0.0,0.1,0.5,1,3,50
51,25.135135135135137,22.563810810810807,1.8018018018018012,0.1,0.1,0.0,0,3,51
52,25.263157894736842,22.678736842105263,1.929824561403506,0.1,0.1,0.5,1,3,52
53,24.871794871794872,22.327410256410253,1.5384615384615374,0.1,0.1,1.0,1,2,53
54,24.5,21.993650000000002,1.166666666666667,0.1,0.1,0.0,0,2,54
55,25.609756097560975,22.98987804878049,2.2764227642276413,0.0,0.0,0.0,0,2,55
56,25.609756097560975,22.98987804878049,2.2764227642276413,0.0,0.1,0.0,0,3,56
57,25.238095238095237,22.656238095238095,1.9047619047619024,0.0,0.1,0.0,0,2,57
58,24.883720930232556,22.338116279069766,1.5503875968992231,0.1,0.1,0.0,0,2,58
59,25.22727272727273,22.64652272727273,1.8939393939393945,0.1,0.0,0.0,0,2,59
60,25.22727272727273,22.64652272727273,1.8939393939393945,0.1,0.0,0.0,0,2,60
61,25.22727272727273,22.64652272727273,1.8939393939393945,0.1,0.1,0.5,1,3,61
62,25.333333333333332,22.741733333333336,1.9999999999999973,0.1,0.1,0.5,1,3,62
63,25.0,22.4425,1.6666666666666652,0.1,0.0,0.0,0,3,63
64,25.0,22.4425,1.6666666666666652,0.1,0.1,0.0,0,3,64
65,24.680851063829788,22.156000000000002,1.3475177304964525,0.0,0.2,0.0,0,3,65
66,25.51020408163265,22.900510204081634,2.1768707482993177,0.1,0.0,0.0,0,2,66
67,25.51020408163265,22.900510204081634,2.1768707482993177,0.1,0.1,0.0,0,3,67
68,25.2,22.622040000000002,1.8666666666666654,0.1,0.0,0.0,0,2,68
69,25.2,22.622040000000002,1.8666666666666654,0.1,0.1,0.0,0,3,69
70,25.49019607843137,22.882549019607843,2.156862745098036,0.0,0.0,0.0,0,3,70
71,25.49019607843137,22.882549019607843,2.156862745098036,0.0,0.1,0.0,0,3,71
72,25.76923076923077,23.133038461538458,2.435897435897436,0.0,0.1,0.0,0,3,72
73,25.849056603773587,23.204698113207545,2.515723270440251,0.1,0.1,0.0,0,3,73
74,25.925925925925924,23.273703703703703,2.592592592592591,0.1,0.0,0.0,0,3,74
75,25.925925925925924,23.273703703703703,2.592592592592591,0.1,0.0,0.0,0,3,75
76,25.925925925925924,23.273703703703703,2.592592592592591,0.1,0.1,0.3333333333333333,1,4,76
77,26.0,23.3402,2.666666666666666,0.1,0.1,0.0,0,4,77
78,26.071428571428573,23.404321428571432,2.7380952380952372,0.1,0.0,0.0,0,3,78
79,26.071428571428573,23.404321428571432,2.7380952380952372,0.1,0.0,0.3333333333333333,1,4,79
80,26.071428571428573,23.404321428571432,2.7380952380952372,0.1,0.3,1.5,3,5,80
81,26.94915254237288,24.19225423728814,3.615819209039546,0.1,0.2,0.0,0,3,81
82,26.885245901639344,24.134885245901643,3.551912568306008,0.0,0.0,0.0,0,1,82
83,26.885245901639344,24.134885245901643,3.551912568306008,0.0,0.0,1.0,1,2,83
84,26.885245901639344,24.134885245901643,3.551912568306008,0.0,0.2,0.5,1,3,84
85,26.666666666666664,23.938666666666673,3.3333333333333304,0.1,0.0,0.0,0,2,85
86,26.666666666666664,23.938666666666673,3.3333333333333304,0.1,0.1,1.0,1,2,86
87,26.40625,23.704890625000004,3.072916666666665,0.1,0.1,1.0,1,2,87
88,26.46153846153846,23.754523076923082,3.128205128205126,0.1,0.1,0.0,0,2,88
89,26.21212121212121,23.53062121212122,2.8787878787878762,0.1,0.0,0.0,0,1,89
90,26.21212121212121,23.53062121212122,2.8787878787878762,0.1,0.0,0.0,0,2,90
91,26.21212121212121,23.53062121212122,2.8787878787878762,0.1,0.2,0.0,0,3,91
92,26.029411764705884,23.366602941176478,2.6960784313725483,0.0,0.0,0.0,0,2,92
93,26.029411764705884,23.366602941176478,2.6960784313725483,0.0,0.0,0.0,0,2,93
94,26.029411764705884,23.366602941176478,2.6960784313725483,0.0,0.1,0.0,0,3,94
95,26.086956521739133,23.418260869565227,2.753623188405796,0.1,0.0,0.5,1,3,95
96,26.086956521739133,23.418260869565227,2.753623188405796,0.1,0.2,0.3333333333333333,1,4,96
97,26.056338028169016,23.390774647887334,2.72300469483568,0.1,0.1,0.0,0,2,97
98,26.11111111111111,23.439944444444446,2.777777777777777,0.1,0.0,0.0,0,2,98
99,26.11111111111111,23.439944444444446,2.777777777777777,0.1,0.0,0.0,0,3,99
100,26.11111111111111,23.439944444444446,2.777777777777777,0.1,0.2,0.5,1,3,100
101,26.08108108108108,23.41298648648649,2.747747747747744,0.1,0.1,0.0,0,2,101
102,26.133333333333333,23.459893333333337,2.799999999999998,0.1,0.0,0.0,0,2,102
103,26.133333333333333,23.459893333333337,2.799999999999998,0.1,0.0,0.0,0,3,103
104,26.133333333333333,23.459893333333337,2.799999999999998,0.1,0.1,0.5,1,3,104
105,26.184210526315788,23.50556578947369,2.850877192982453,0.1,0.1,0.5,1,3,105
106,26.233766233766236,23.55005194805195,2.900432900432901,0.0,0.2,0.0,0,3,106
107,26.075949367088608,23.408379746835447,2.742616033755274,0.1,0.0,0.0,0,1,107
108,26.075949367088608,23.408379746835447,2.742616033755274,0.1,0.0,0.0,0,2,108
109,26.075949367088608,23.408379746835447,2.742616033755274,0.1,0.2,0.0,0,3,109
110,25.925925925925924,23.273703703703706,2.592592592592591,0.1,0.1,0.0,0,2,110
111,25.731707317073173,23.09935365853659,2.3983739837398366,0.1,0.0,0.0,0,1,111
112,25.731707317073173,23.09935365853659,2.3983739837398366,0.1,0.0,0.0,0,2,112
113,25.731707317073173,23.09935365853659,2.3983739837398366,0.1,0.2,0.0,0,3,113
114,25.595238095238095,22.976845238095244,2.2619047619047583,0.0,0.0,0.0,0,2,114
115,25.595238095238095,22.976845238095244,2.2619047619047583,0.0,0.1,0.0,0,2,115
116,25.41176470588235,22.812141176470597,2.0784313725490167,0.1,0.0,0.0,0,2,116
117,25.41176470588235,22.812141176470597,2.0784313725490167,0.1,0.0,0.0,0,3,117
118,25.41176470588235,22.812141176470597,2.0784313725490167,0.1,0.1,0.5,1,3,118
119,25.232558139534884,22.651267441860472,1.8992248062015493,0.1,0.2,0.5,1,3,119
120,25.681818181818183,23.054568181818183,2.3484848484848486,0.0,0.0,0.0,0,2,120
121,25.681818181818183,23.054568181818183,2.3484848484848486,0.0,0.1,0.0,0,3,121
122,25.50561797752809,22.89639325842697,2.172284644194753,0.1,0.0,0.0,0,2,122
123,25.50561797752809,22.89639325842697,2.172284644194753,0.1,0.0,0.0,0,3,123
124,25.50561797752809,22.89639325842697,2.172284644194753,0.1,0.1,0.0,0,4,124
125,25.555555555555554,22.941222222222223,2.2222222222222188,0.1,0.0,0.0,0,3,125
126,25.555555555555554,22.941222222222223,2.2222222222222188,0.1,0.2,1.0,2,4,126
127,26.086956521739133,23.418260869565216,2.753623188405796,0.1,0.2,0.5,1,3,127
128,25.95744680851064,23.302,2.624113475177303,0.0,0.1,1.0,1,2,128
129,25.789473684210527,23.151210526315786,2.4561403508771917,0.1,0.1,0.0,0,1,129
130,25.625,23.003562500000005,2.291666666666665,0.1,0.0,0.0,0,1,130
131,25.625,23.003562500000005,2.291666666666665,0.1,0.1,0.0,0,2,131
132,25.463917525773194,22.8589587628866,2.1305841924398594,0.1,0.0,0.0,0,2,132
133,25.463917525773194,22.8589587628866,2.1305841924398594,0.1,0.0,0.0,0,2,133
134,25.463917525773194,22.8589587628866,2.1305841924398594,0.1,0.0,0.5,1,3,134
135,25.463917525773194,22.8589587628866,2.1305841924398594,0.1,0.3,1.0,2,4,135
136,25.5,22.891350000000003,2.1666666666666634,0.0,0.1,0.0,0,1,136
137,25.346534653465348,22.753584158415844,2.013201320132012,0.1,0.0,0.0,0,1,137
138,25.346534653465348,22.753584158415844,2.013201320132012,0.1,0.1,1.0,1,2,138
139,25.19607843137255,22.618519607843137,1.8627450980392135,0.1,0.1,1.0,1,2,139
140,25.04854368932039,22.48607766990291,1.7152103559870557,0.1,0.1,0.0,0,1,140
141,24.903846153846153,22.356182692307694,1.5705128205128194,0.0,0.0,0.0,0,1,141
142,24.903846153846153,22.356182692307694,1.5705128205128194,0.0,0.0,0.0,0,2,142
143,24.903846153846153,22.356182692307694,1.5705128205128194,0.0,0.0,0.0,0,2,143
144,24.903846153846153,22.356182692307694,1.5705128205128194,0.0,0.1,0.0,0,3,144
145,24.952380952380953,22.399752380952382,1.6190476190476177,0.1,0.0,0.0,0,3,145
146,24.952380952380953,22.399752380952382,1.6190476190476177,0.1,0.1,0.0,0,4,146
147,25.09433962264151,22.527188679245285,1.7610062893081757,0.1,0.1,0.0,0,3,147
148,24.953271028037385,22.40055140186916,1.61993769470405,0.1,0.1,0.0,0,3,148
149,25.0,22.4425,1.6666666666666652,0.1,0.0,0.0,0,3,149
150,25.0,22.4425,1.6666666666666652,0.1,0.1,0.0,0,4,150
151,25.321100917431192,22.730752293577982,1.987767584097857,0.0,0.1,0.0,0,3,151
152,25.36363636363636,22.768936363636364,2.0303030303030267,0.0,0.1,0.0,0,3,152
153,25.405405405405403,22.806432432432434,2.0720720720720687,0.1,0.1,0.0,0,3,153
154,25.446428571428573,22.843258928571426,2.1130952380952372,0.1,0.1,1.0,1,2,154
155,25.309734513274336,22.720548672566366,1.9764011799410008,0.1,0.1,0.0,0,2,155
156,25.35087719298246,22.757482456140348,2.0175438596491224,0.0,0.0,0.0,0,2,156
157,25.35087719298246,22.757482456140348,2.0175438596491224,0.0,0.0,0.0,0,3,157
158,25.35087719298246,22.757482456140348,2.0175438596491224,0.0,0.0,0.0,0,3,158
159,25.35087719298246,22.757482456140348,2.0175438596491224,0.0,0.0,0.0,0,4,159
160,25.35087719298246,22.757482456140348,2.0175438596491224,0.0,0.0,0.25,1,5,160
161,25.35087719298246,22.757482456140348,2.0175438596491224,0.0,0.3,0.25,1,5,161
162,25.641025641025642,23.017948717948713,2.3076923076923084,0.1,0.0,0.5,1,3,162
163,25.641025641025642,23.017948717948713,2.3076923076923084,0.1,0.3,1.0,2,4,163
164,26.0,23.3402,2.666666666666666,0.0,0.1,0.0,0,2,164
165,25.867768595041323,23.221495867768596,2.534435261707988,0.1,0.0,0.0,0,1,165
166,25.867768595041323,23.221495867768596,2.534435261707988,0.1,0.0,0.0,0,2,166
167,25.867768595041323,23.221495867768596,2.534435261707988,0.1,0.2,0.0,0,3,167
168,25.772357723577237,23.135845528455285,2.4390243902439,0.1,0.0,0.0,0,2,168
169,25.772357723577237,23.135845528455285,2.4390243902439,0.1,0.1,0.0,0,2,169
170,25.64516129032258,23.021661290322577,2.3118279569892453,0.1,0.1,0.0,0,2,170
171,25.68,23.052936,2.346666666666666,0.0,0.1,1.0,1,2,171
172,25.555555555555554,22.94122222222222,2.2222222222222188,0.0,0.1,0.0,0,1,172
173,25.433070866141733,22.83126771653543,2.0997375328083967,0.1,0.0,0.0,0,1,173
174,25.433070866141733,22.83126771653543,2.0997375328083967,0.1,0.1,0.0,0,2,174
175,25.3125,22.72303125,1.9791666666666652,0.1,0.0,0.0,0,2,175
176,25.3125,22.72303125,1.9791666666666652,0.1,0.1,0.0,0,2,176
177,25.1937984496124,22.61647286821706,1.8604651162790686,0.1,0.0,0.0,0,2,177
178,25.1937984496124,22.61647286821706,1.8604651162790686,0.1,0.1,0.0,0,3,178
179,25.076923076923077,22.51155384615385,1.7435897435897418,0.0,0.0,0.0,0,3,179
180,25.076923076923077,22.51155384615385,1.7435897435897418,0.0,0.2,0.0,0,3,180
181,25.22727272727273,22.646522727272732,1.8939393939393945,0.1,0.0,0.0,0,2,181
182,25.22727272727273,22.646522727272732,1.8939393939393945,0.1,0.1,0.0,0,3,182
183,25.338345864661655,22.746233082706773,2.0050125313283207,0.1,0.1,0.0,0,2,183
184,25.223880597014926,22.643477611940302,1.89054726368159,0.1,0.1,0.0,0,2,184
185,25.25925925925926,22.675237037037046,1.9259259259259265,0.0,0.0,0.0,0,2,185
186,25.25925925925926,22.675237037037046,1.9259259259259265,0.0,0.0,0.0,0,3,186
187,25.25925925925926,22.675237037037046,1.9259259259259265,0.0,0.0,0.0,0,3,187
188,25.25925925925926,22.675237037037046,1.9259259259259265,0.0,0.1,0.3333333333333333,1,4,188
189,25.36764705882353,22.772536764705887,2.0343137254901933,0.0,0.2,0.0,0,4,189
190,25.28985507246377,22.70270289855073,1.9565217391304346,0.1,0.0,0.0,0,2,190
191,25.28985507246377,22.70270289855073,1.9565217391304346,0.1,0.0,0.0,0,3,191
192,25.28985507246377,22.70270289855073,1.9565217391304346,0.1,0.1,0.0,0,4,192
193,25.323741007194243,22.733122302158275,1.9904076738609078,0.1,0.1,0.0,0,4,193
194,25.714285714285715,23.08371428571429,2.3809523809523814,0.1,0.0,0.0,0,3,194
195,25.714285714285715,23.08371428571429,2.3809523809523814,0.1,0.0,0.0,0,4,195
196,25.714285714285715,23.08371428571429,2.3809523809523814,0.1,0.2,0.0,0,5,196
197,25.84507042253521,23.201119718309865,2.5117370892018753,0.1,0.1,0.0,0,4,197
198,26.083916083916083,23.415531468531473,2.7505827505827485,0.1,0.0,0.5,1,3,198
199,26.083916083916083,23.415531468531473,2.7505827505827485,0.1,0.2,0.3333333333333333,1,4,199
