,VHT,VMT,Avg. Delay,Incoming Veh. Flux,Outgoing Veh. Flux,Avg. Queue Length,Total Queue Length,X(t),timestep
0,30.153156518490846,27.068488606649233,22.153156518490846,0.0,0.0,0.0,0,1,0
1,30.153156518490846,27.068488606649233,22.153156518490846,0.0,0.0,0.0,0,1,1
2,30.153156518490846,27.068488606649233,22.153156518490846,0.0,0.0,0.0,0,1,2
3,30.153156518490846,27.068488606649233,22.153156518490846,0.0,0.1,0.0,0,1,3
4,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,4
5,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,5
6,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,6
7,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,7
8,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,8
9,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,9
10,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,10
11,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,11
12,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,12
13,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,13
14,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,14
15,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,15
16,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,16
17,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,17
18,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,18
19,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,19
20,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,20
21,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,21
22,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,22
23,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,23
24,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,24
25,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,25
26,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,26
27,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,27
28,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,28
29,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,29
30,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,30
31,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,31
32,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,32
33,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,33
34,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,34
35,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,35
36,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,36
37,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,37
38,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,38
39,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,39
40,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,40
41,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,41
42,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,42
43,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,,0,0,43
44,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,0.0,0,1,44
45,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,0.0,0,1,45
46,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,0.0,0,1,46
47,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,0.0,0,1,47
48,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,0.0,0,1,48
49,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,0.0,0,1,49
50,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,0.0,0,1,50
51,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.0,0.0,0,1,51
52,30.164301717699775,27.07849365197909,22.16430171769978,0.0,0.1,0.0,0,1,52
53,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,53
54,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,54
55,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,55
56,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,56
57,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,57
58,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,58
59,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,59
60,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,60
61,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,61
62,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,62
63,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,63
64,30.182904068682348,27.09519298245614,22.182904068682348,0.0,0.0,,0,0,64
