,VHT,VMT,Avg. Delay,Incoming Veh. Flux,Outgoing Veh. Flux,Avg. Queue Length,Total Queue Length,X(t),timestep
0,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,0
1,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,1
2,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,2
3,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,3
4,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,4
5,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,5
6,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,6
7,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,7
8,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,8
9,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,9
10,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,10
11,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,11
12,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,12
13,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,13
14,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,14
15,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,15
16,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,16
17,60.0,53.862,36.666666666666664,0.0,0.0,,0,0,17
18,60.0,53.862,36.666666666666664,0.0,0.0,0.0,0,1,18
19,60.0,53.862,36.666666666666664,0.0,0.0,0.0,0,1,19
20,60.0,53.862,36.666666666666664,0.0,0.0,0.0,0,1,20
21,60.0,53.862,36.666666666666664,0.0,0.0,0.0,0,1,21
22,60.0,53.862,36.666666666666664,0.0,0.0,0.0,0,1,22
23,60.0,53.862,36.666666666666664,0.0,0.1,0.0,0,1,23
24,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,24
25,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,25
26,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,26
27,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,27
28,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,28
29,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,29
30,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,30
31,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,31
32,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,32
33,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,33
34,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,34
35,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,35
36,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,36
37,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,37
38,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,38
39,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,39
40,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,40
41,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,41
42,55.0,49.37350000000001,31.666666666666664,0.0,0.0,,0,0,42
43,55.0,49.37350000000001,31.666666666666664,0.0,0.0,0.0,0,1,43
44,55.0,49.37350000000001,31.666666666666664,0.0,0.0,0.0,0,1,44
45,55.0,49.37350000000001,31.666666666666664,0.0,0.0,0.0,0,1,45
46,55.0,49.37350000000001,31.666666666666664,0.0,0.1,0.0,0,1,46
47,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,47
48,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,48
49,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,49
50,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,50
51,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,51
52,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,52
53,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,53
54,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,54
55,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,55
56,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,56
57,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,57
58,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,58
59,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,59
60,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,60
61,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,61
62,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,62
63,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,63
64,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,64
65,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,65
66,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,66
67,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,,0,0,67
68,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.0,0.0,0,1,68
69,46.66666666666667,41.89266666666667,23.333333333333336,0.0,0.1,0.0,0,1,69
70,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,70
71,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,71
72,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,72
73,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,73
74,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,74
75,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,75
76,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,76
77,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,77
78,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,78
79,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,79
80,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,80
81,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,81
82,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,82
83,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,83
84,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,84
85,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,85
86,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,86
87,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,87
88,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,88
89,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,89
90,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,90
91,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,91
92,37.5,33.66375,14.166666666666664,0.0,0.0,,0,0,92
93,37.5,33.66375,14.166666666666664,0.0,0.0,0.0,0,1,93
94,37.5,33.66375,14.166666666666664,0.0,0.0,0.0,0,1,94
95,37.5,33.66375,14.166666666666664,0.0,0.0,0.0,0,1,95
96,37.5,33.66375,14.166666666666664,0.0,0.1,0.0,0,1,96
97,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,97
98,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,98
99,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,99
100,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,100
101,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,101
102,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,102
103,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,103
104,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,104
105,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,105
106,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,106
107,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,107
108,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,108
109,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,109
110,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,110
111,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,111
112,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,112
113,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,113
114,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,114
115,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,115
116,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,116
117,36.0,32.3172,12.666666666666666,0.0,0.0,,0,0,117
118,36.0,32.3172,12.666666666666666,0.0,0.0,0.0,0,1,118
119,36.0,32.3172,12.666666666666666,0.0,0.0,0.0,0,1,119
120,36.0,32.3172,12.666666666666666,0.0,0.0,0.0,0,1,120
121,36.0,32.3172,12.666666666666666,0.0,0.1,0.0,0,1,121
122,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,122
123,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,123
124,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,124
125,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,125
126,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,126
127,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,127
128,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,128
129,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,129
130,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,130
131,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,131
132,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,132
133,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,133
134,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,134
135,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,135
136,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,136
137,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,137
138,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,138
139,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,139
140,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,140
141,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,141
142,35.0,31.419500000000003,11.666666666666664,0.0,0.0,,0,0,142
143,35.0,31.419500000000003,11.666666666666664,0.0,0.0,0.0,0,1,143
144,35.0,31.419500000000003,11.666666666666664,0.0,0.0,0.0,0,1,144
